Date,Price,Open,High,Low,Vol.,Change %
01/14/2021,1233.17,1010.59,1233.17,1010.59,127.91K,22.02%
01/13/2021,1010.59,1050.54,1066.96,1010.59,49.79K,-3.75%
01/12/2021,1050.01,1086.75,1117.60,1050.01,100.61K,-3.55%
01/11/2021,1088.71,1255.39,1255.39,984.99,87.80K,-13.32%
01/10/2021,1256.08,1333.96,1339.14,1256.08,68.07K,4.48%
01/06/2021,1202.23,1099.95,1202.23,1099.95,105.94K,9.31%
01/05/2021,1099.82,1042.01,1099.82,1008.63,126.33K,5.42%
01/04/2021,1043.28,977.56,1043.28,937.88,133.86K,6.70%
01/03/2021,977.80,774.56,977.80,774.56,121.09K,26.24%
01/02/2021,774.55,729.15,779.01,729.15,98.63K,6.23%
01/01/2021,729.15,736.15,739.32,728.35,73.41K,-0.90%
12/31/2020,735.81,752.01,752.01,731.60,95.14K,-2.16%
12/30/2020,752.03,731.72,752.03,722.24,167.91K,2.78%
12/29/2020,731.72,729.91,731.72,713.72,182.64K,0.18%
12/28/2020,730.41,684.56,744.07,684.56,264.01K,6.68%
12/27/2020,684.66,636.67,693.99,636.67,190.89K,7.58%
12/26/2020,636.44,626.71,647.61,624.16,160.50K,1.55%
12/25/2020,626.73,612.60,626.73,612.60,137.29K,2.31%
12/24/2020,612.60,585.49,612.60,575.67,145.43K,4.64%
12/23/2020,585.41,637.10,637.10,585.41,114.11K,-8.13%
12/22/2020,637.21,608.25,637.21,598.92,150.23K,4.76%
12/21/2020,608.25,638.51,646.42,608.25,130.12K,-4.74%
12/20/2020,638.51,658.28,658.28,638.51,174.73K,-3.00%
12/19/2020,658.28,653.77,664.91,649.50,188.42K,0.69%
12/18/2020,653.77,643.19,653.77,634.75,241.20K,1.61%
